Name,Pos
Edwin Diaz,RP
Aroldis Chapman,RP
Kenley Jansen,RP
Craig Kimbrel,RP
Will Smith,RP
Zack Britton,RP
Corey Knebel,RP
Will Harris,RP
Trevor May,RP
Taylor Rogers,RP
Andrew Chafin,RP
Nick Martinez,RP
Brad Hand,RP
Robert Suarez,RP
Mychal Givens,RP
Michael Fulmer,RP
Ian Kennedy,RP
Trevor Rosenthal,RP
Craig Stammen,RP
Scott Oberg,RP
Alex Colome,RP
Adam Ottavino,RP
Chad Green,RP
Seth Lugo,RP
Trevor Williams,RP
Archie Bradley,RP
Jose Leclerc,RP/CL
Luke Jackson,RP
David Robertson,RP
Carlos Estevez,RP
Danny Duffy,RP
Bryan Shaw,RP
Matt Strahm,RP
Rafael Montero,RP
Tommy Kahnle,RP
Miguel Castro,RP
Justin Wilson,RP
Brad Boxberger,RP
Pierce Johnson,RP
Anthony Bass,RP
Mike Mayers,RP
Hunter Strickland,RP
Steve Cishek,RP
Hirokazu Sawamura,RP
Jesse Chavez,RP
Jose Alvarez,RP
Mike Montgomery,RP
Darren O'Day,RP
Arodys Vizcaino,RP
Daniel Coulombe,RP
Tyler Thornburg,RP
Matthew Bowman,RP
Sean Newcomb,RP
Paul Fry,RP
J.B. Wendelken,RP
John Curtiss,RP
Jimmy Nelson,RP
R.J. Alvarez,RP
Jacob Barnes,RP
Shaun Anderson,RP
Adam Kolarek,RP
Kyle Barraclough,RP
Chris Devenski,RP
Chris Ellis,RP
Alexander Claudio,RP
Heath Hembree,RP
Tommy Hunter,RP
Roenis Elias,RP
Anthony Banda,RP
Travis Lakins,RP
Michael Kelly,RP
Jake Jewell,RP
Daniel Norris,RP
Luke Bard,RP
Phillip Diehl,RP
Robbie Erlin,RP
Matt Koch,RP
Brian Moran,RP
Carson Fulmer,RP
Jacob Lindgren,RP
Mike Wright,RP
Luis Avilan,RP
Tyler Lyons,RP
Vicente Campos,RP
Justin Nicolino,RP
Ryan Garton,RP
Jake Petricka,RP
Jose Ramirez,RP
Joseph Colon,RP
Perci Garner,RP
Rafael Martin,RP
Brad Brach,RP
Ashur Tolliver,RP
Andrew Faulkner,RP
Greg Mahle,RP
Daniel Wright,RP
Hunter Cervenka,RP
Blaine Hardy,RP
Cam Bedrosian,RP
Damien Magnifico,RP
Jonathan Aro,RP
Sam Freeman,RP
Grant Dayton,RP
Tyler Cravy,RP
Tyler Wagner,RP
A.J. Schugel,RP
Nefi Ogando,RP
Pat Light,RP
Julian Fernández,RP
Tyrell Jenkins,RP
Chris Beck,RP
Eddie Gamboa,RP
Zach McAllister,RP
Joseph Biagini,RP
Edubray Ramos,RP
Koda Glover,RP
Cody Reed,RP
Gregory Infante,RP
Jose Valdez,RP
Keone Kela,RP
Matt Moore,RP
