Name,Pos
Tyler Anderson,SP
Chris Archer,SP
Kohei Arihara,SP
Chris Bassitt,SP
Trevor Bauer,SP
Matt Boyd,SP
Aaron Brooks,SP
Dylan Bundy,SP
Carlos Carrasco,SP
Mike Clevinger,SP
Jharel Cotton,SP
Johnny Cueto,SP
Tyler Danish,SP
Zach Davies,SP
Zach Davies,SP
Jacob deGrom,SP
Zach Eflin,SP
Nathan Eovaldi,SP
Kyle Gibson,SP
Chi Chi Gonzalez,SP
Zack Greinke,SP
Matt Harvey,SP
Andrew Heaney,SP
Rich Hill,SP
Drew Hutchison,SP
Clayton Kershaw,SP
Corey Kluber,SP
Chad Kuhl,SP
Josh Lindblom,SP
Michael Lorenzen,SP
Jordan Lyles,SP
Sean Manaea,SP
Daniel Mengden,SP
Alex Meyer,SP
Wade Miley,SP
Shelby Miller,SP
Mike Minor,SP
Jake Odorizzi,SP
Luiz Ortiz,SP
James Paxton,SP
Martin Perez,SP
David Price,SP
Jose Quintana,SP
Erasmo Ramirez,SP
J.C. Ramirez,SP
Denyi Reyes,SP
Garrett Richards,SP
Carlos Rodon,SP
Joe Ross,SP
Aaron Sanchez,SP
Anibal Sanchez,SP
Drew Smyly,SP
Dan Straily,SP
Ross Stripling,SP
Noah Syndergaard,SP
Jameson Taillon,SP
Jose Urena,SP
Vincent Velasquez,SP
Justin Verlander,SP
Michael Wacha,SP
Taijuan Walker,SP
Taijuan Walker,SP
