Team,K/9,BB/9,K/BB,HR/9,K Perc,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
HOU,9.49,2.85,3.33,0.83,0.26,7.80%,18.20%,0.21,1.09,0.268,77.20%,75,84,90,2.9,3.28,-0.39,3.56,3.47
SFG,8.6,2.77,3.11,0.83,0.226,7.30%,15.30%,0.25,1.28,0.31,70.00%,98,90,91,3.86,3.43,0.43,3.62,3.64
LAD,9.08,2.52,3.6,0.94,0.25,6.90%,18.00%,0.207,1.05,0.255,78.30%,71,86,92,2.8,3.45,-0.66,3.67,3.47
ATL,9.66,3.11,3.11,0.92,0.258,8.30%,17.50%,0.224,1.19,0.286,74.60%,84,88,90,3.46,3.46,0,3.58,3.52
NYM,9.79,2.68,3.66,1.06,0.263,7.20%,19.10%,0.234,1.18,0.297,76.00%,95,90,87,3.58,3.51,0.08,3.45,3.34
NYY,9.05,2.75,3.29,0.97,0.246,7.50%,17.10%,0.217,1.12,0.268,76.30%,86,89,92,3.3,3.56,-0.26,3.65,3.55
PHI,8.97,2.92,3.07,0.95,0.237,7.70%,16.00%,0.243,1.26,0.302,71.20%,97,89,93,3.98,3.6,0.37,3.7,3.67
TBR,8.68,2.41,3.6,1.08,0.233,6.50%,16.90%,0.23,1.15,0.277,74.60%,92,97,94,3.41,3.68,-0.27,3.71,3.56
CLE,8.59,2.69,3.2,1.06,0.232,7.30%,15.90%,0.228,1.16,0.274,73.80%,89,95,96,3.47,3.75,-0.28,3.78,3.7
CHW,9.01,3.31,2.72,1.03,0.236,8.70%,14.90%,0.239,1.29,0.295,71.20%,101,93,100,3.94,3.81,0.12,3.93,3.83
SDP,9.05,2.92,3.1,1.08,0.24,7.70%,16.30%,0.23,1.2,0.282,73.50%,98,96,97,3.81,3.82,-0.01,3.86,3.68
TOR,8.68,2.65,3.28,1.12,0.23,7.00%,16.00%,0.244,1.23,0.295,73.40%,101,95,97,3.89,3.85,0.04,3.84,3.69
MIA,9,3.2,2.81,1.08,0.237,8.40%,15.30%,0.24,1.27,0.295,73.80%,98,100,94,3.86,3.9,-0.04,3.75,3.74
SEA,8.65,2.78,3.11,1.16,0.232,7.50%,15.80%,0.233,1.19,0.279,76.10%,97,102,100,3.59,3.9,-0.32,3.93,3.76
MIL,9.52,3.24,2.94,1.18,0.253,8.60%,16.70%,0.226,1.22,0.28,72.90%,95,98,92,3.83,3.92,-0.1,3.66,3.6
STL,7.38,3.07,2.41,0.92,0.196,8.10%,11.40%,0.244,1.27,0.287,74.20%,98,101,101,3.79,3.94,-0.15,4.03,4.1
LAA,8.67,3.39,2.56,1.05,0.229,8.90%,14.00%,0.228,1.24,0.276,73.00%,96,97,101,3.79,3.96,-0.17,4,3.92
BAL,7.62,2.78,2.74,1.07,0.2,7.30%,12.70%,0.253,1.29,0.296,73.20%,103,104,104,3.97,4.03,-0.06,4.1,4.03
MIN,8.37,2.93,2.85,1.15,0.221,7.70%,14.40%,0.24,1.24,0.285,73.30%,104,104,104,3.98,4.03,-0.05,4.1,3.89
DET,7.58,3.24,2.34,1.06,0.198,8.50%,11.30%,0.244,1.3,0.284,71.30%,106,107,110,4.05,4.16,-0.11,4.34,4.24
BOS,8.47,3.31,2.56,1.16,0.218,8.50%,13.30%,0.253,1.35,0.304,69.80%,111,106,104,4.53,4.17,0.37,4.11,3.98
TEX,8.24,3.64,2.26,1.06,0.213,9.40%,11.90%,0.244,1.34,0.292,71.20%,109,105,104,4.22,4.18,0.05,4.11,4.1
PIT,7.92,3.71,2.13,1.04,0.2,9.40%,10.60%,0.256,1.42,0.304,68.70%,115,106,109,4.66,4.27,0.39,4.35,4.27
ARI,7.65,3.17,2.41,1.2,0.2,8.30%,11.70%,0.244,1.29,0.282,71.20%,104,111,108,4.25,4.33,-0.08,4.32,4.22
CHC,8.62,3.37,2.56,1.29,0.224,8.80%,13.70%,0.242,1.3,0.287,73.50%,100,110,101,4.03,4.33,-0.31,4.04,3.93
COL,7.5,3.4,2.2,1.16,0.19,8.60%,10.40%,0.269,1.44,0.312,66.80%,110,104,107,5.08,4.38,0.7,4.29,4.3
OAK,7.59,3.17,2.4,1.23,0.197,8.20%,11.50%,0.251,1.33,0.289,70.70%,123,116,112,4.54,4.41,0.12,4.39,4.24
KCR,7.57,3.75,2.02,1.1,0.191,9.40%,9.60%,0.267,1.47,0.312,70.30%,118,114,113,4.72,4.42,0.3,4.44,4.41
CIN,8.94,3.87,2.31,1.35,0.227,9.80%,12.90%,0.248,1.39,0.298,71.10%,113,109,108,4.86,4.59,0.27,4.31,4.07
WSN,7.78,3.56,2.19,1.56,0.196,9.00%,10.60%,0.263,1.44,0.297,70.80%,122,122,113,5,4.98,0.03,4.51,4.32
